Image Path,Lacunarity
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD.tif,tensor([[[0.0173]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_001.tif,tensor([[[0.0330]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_005.tif,tensor([[[0.0275]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_006.tif,tensor([[[0.0334]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_007.tif,tensor([[[0.0383]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_009.tif,tensor([[[0.0308]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Crystalline Silica (CS)\CS_Top of Insert_A549_U937_02052021_5KV_1500_ICE-HV_5_10.tif,tensor([[[0.0140]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD.tif,tensor([[[0.2274]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD_002.tif,tensor([[[0.2845]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD_004.tif,tensor([[[0.1791]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD_005.tif,tensor([[[0.1687]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD_006.tif,tensor([[[0.0784]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD_007.tif,tensor([[[0.1010]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_A549_U937_5KV_1200x_ETD_HV_5spot_12.3WD_008.tif,tensor([[[0.1282]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.3WD_039.tif,tensor([[[0.0400]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.6WD.tif,tensor([[[0.0438]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.3WD_011.tif,tensor([[[0.1122]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.3WD_014.tif,tensor([[[0.1022]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Untreated\Untreated_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.4WD_005.tif,tensor([[[0.0264]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Untreated\Untreated_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.4WD_008.tif,tensor([[[0.0260]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME\Lung Cells Untreated\Untreated_epithelial_macrophages_5KV_1200x_ETD_HV_s5.0_13.5WD_002.tif,tensor([[[0.0399]]])
