Image Path,Lacunarity
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_12_0.png,tensor([[[0.0037]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_12_1.png,tensor([[[0.0072]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_12_2.png,tensor([[[0.0045]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_12_3.png,tensor([[[0.0059]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_13_0.png,tensor([[[0.0040]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_13_1.png,tensor([[[0.0043]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_13_2.png,tensor([[[0.0063]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_13_3.png,tensor([[[0.0054]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_14_0.png,tensor([[[0.0069]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_14_1.png,tensor([[[0.0061]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_14_2.png,tensor([[[0.0064]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_14_3.png,tensor([[[0.0056]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_15_0.png,tensor([[[0.0067]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_15_1.png,tensor([[[0.0058]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_15_2.png,tensor([[[0.0046]]])
