Image Path,Lacunarity
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_001_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_001_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_001_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_001_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_005_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_005_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_005_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_005_3.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_006_0.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_006_1.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_006_2.png,tensor([[[0.]]])
C:/Users/aksha/Peeples_Lab/2024_V4A_Lacunarity_Pooling_Layer_1/Datasets/Lung Cells SEM Images_group1_ME_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_epithelial_macrophage_5KV_1200x_ETD_HV_s5.0_10.5WD_006_3.png,tensor([[[0.]]])
